Int,Treatment,Carbon,Concentration,Rep,Strain,CO2Accum,Expt
13,ABM,Control_low,0 uM-C,B,Community,14.366,1
13,ABM,Control_low,0 uM-C,C,Community,19.891,1
13,NOM,Control_low,0 uM-C,A,Community,49.229,1
13,NOM,Control_low,0 uM-C,B,Community,47.526,1
13,NOM,Control_low,0 uM-C,C,Community,48.746,1
13,LOM,Casamino Acids,40 uM-C,A,Community,146.874,1
13,LOM,Casamino Acids,40 uM-C,B,Community,156.086,1
13,LOM,Casamino Acids,40 uM-C,C,Community,160.588,1
13,composite,Casamino Acids,40 uM-C,A,Community,196.103,1
13,composite,Casamino Acids,40 uM-C,B,Community,203.612,1
13,composite,Casamino Acids,40 uM-C,C,Community,209.334,1
13,PRI,Casamino Acids,40 uM-C,A,Community,160.517,1
13,PRI,Casamino Acids,40 uM-C,B,Community,168.646,1
13,PRI,Casamino Acids,40 uM-C,C,Community,165.941,1
13,LOM,Casamino Acids,4 uM-C,A,Community,107.042,1
13,LOM,Casamino Acids,4 uM-C,B,Community,113.907,1
13,LOM,Casamino Acids,4 uM-C,C,Community,101.916,1
13,composite,Casamino Acids,4 uM-C,A,Community,156.271,1
13,composite,Casamino Acids,4 uM-C,B,Community,161.433,1
13,composite,Casamino Acids,4 uM-C,C,Community,150.662,1
13,PRI,Casamino Acids,4 uM-C,A,Community,201.673,1
